unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,:id,:version,:created_at,:updated_at
874416,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Summer 2023,2023-06-01T00:00:00.000,9.237951308,row-n34f~sr35~bfnv,rv-tnts_m7uf_d99g,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877080,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Summer 2023,2023-06-01T00:00:00.000,12.52282979,row-dkmy-tbgy-bqgv,rv-hx3s_s9fb.k8t9,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876849,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,Brooklyn,Summer 2023,2023-06-01T00:00:00.000,12.52221569,row-ykym.d2j6.cjxj,rv-r9ae_3py2.q5yq,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874599,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01T00:00:00.000,9.2882538,row-jhbp_qhj8.9ebx,rv-62y3_jg9x~sgd6,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877221,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01T00:00:00.000,16.03132644,row-zamm~r8n6-evs6,rv-gsmi_ve7r_ken2,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874903,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2023,2023-06-01T00:00:00.000,9.21308071,row-zkse-u7cn.pud9,rv-bp54.gtwc-rt6s,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878159,386,Ozone (O3),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2023,2023-06-01T00:00:00.000,29.66140778,row-6nb4-txz8~hvik,rv-zups~dunc~6iia,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874335,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Summer 2023,2023-06-01T00:00:00.000,9.205974877,row-es7t-ix6x_w9g3,rv-diwa_95si-aiud,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,2023-06-01T00:00:00.000,12.24185059,row-2i3f_hz82.nc9h,rv-pyt4_q4jj~a5v8,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876966,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,11.25823112,row-vzum_iemv-m7jw,rv-azrn~ahjz~nvvt,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874544,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2023,2023-06-01T00:00:00.000,8.701650681,row-tpph_ejw3.p9y9,rv-j626-92ha.4wja,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874404,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01T00:00:00.000,9.205974877,row-mdq8~hx66_mueg,rv-q6xu~c7zs-bz2x,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874825,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01T00:00:00.000,9.594697694,row-479c_tmf3_nxg6,rv-ejvq_xa5h~wuxh,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874482,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,9.178931606,row-s7u4~kmfw~a7p2,rv-agcz.msug-a42m,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878207,386,Ozone (O3),Mean,ppb,UHF42,503,Willowbrook,Summer 2023,2023-06-01T00:00:00.000,34.65271795,row-9d3r_7mpk_et3u,rv-znf7_kprs_rext,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874562,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,8.721684896,row-akjp~vgfn-x23j,rv-89ek.tznm.pne7,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874467,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2023,2023-06-01T00:00:00.000,9.24061011,row-b38f_w2f5_x9n6,rv-adsu.ydx8-pvxh,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874855,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01T00:00:00.000,8.695098537,row-jnm8-7q6w-urba,rv-5ikj~gmu4~4c5i,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874918,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,311,Bensonhurst (CD11),Summer 2023,2023-06-01T00:00:00.000,8.452024043,row-ihnn.yhse.htnu,rv-3wur~7nra_zud5,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876864,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2023,2023-06-01T00:00:00.000,11.62453778,row-2a4x-7cqj~hp9i,rv-ssp9_ai9f-q2q2,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876960,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,406,Fresh Meadows,Summer 2023,2023-06-01T00:00:00.000,10.7039473,row-6ndu.dv2j~ajrr,rv-7fmq~uq42_59ks,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878243,386,Ozone (O3),Mean,ppb,UHF42,105,Crotona -Tremont,Summer 2023,2023-06-01T00:00:00.000,32.15024536,row-c3vr_seiz~cysz,rv-de3m_wcqu-qszx,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877116,375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01T00:00:00.000,13.26989981,row-jugv_jffj~f928,rv-bntm_ii3m~wbhh,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874505,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01T00:00:00.000,9.250161362,row-5m2s~wjui.v95f,rv-929n_v3jz.fub5,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874428,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502,Stapleton - St. George,Summer 2023,2023-06-01T00:00:00.000,8.449108269,row-k7px_76bu-s3ra,rv-jiqw~fynm_y2fb,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877041,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,15.61819912,row-8s98_2zeu_ewn7,rv-t6kz_wqh7-wj8j,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874882,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,211,Morris Park and Bronxdale (CD11),Summer 2023,2023-06-01T00:00:00.000,9.232350014,row-s48e-6t82_9z43,rv-7e7q-fprt~v5cu,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878125,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2023,2023-06-01T00:00:00.000,41.2931847,row-4jdv_7pue.k6g5,rv-9t63.fgey~sapy,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874547,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01T00:00:00.000,9.223447992,row-yghd.4hgi_4iuw,rv-48m2~gj8a~teje,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877005,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01T00:00:00.000,12.30403871,row-rc4m_tcdk~g3cf,rv-uwrw.k6vd~9x7z,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877047,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Summer 2023,2023-06-01T00:00:00.000,15.07775098,row-m3jv_sie6~bvhm,rv-imf3.fh26_mmm5,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878179,386,Ozone (O3),Mean,ppb,UHF34,410,Rockaways,Summer 2023,2023-06-01T00:00:00.000,43.33287409,row-wz24.6tkk_qwak,rv-itnu-wguv.sgtx,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878176,386,Ozone (O3),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01T00:00:00.000,30.65430801,row-ite7~x8ev~ukmk,rv-6mkh-bd59.ut4e,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876897,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Summer 2023,2023-06-01T00:00:00.000,11.74380759,row-gnvp_dwy9.pbfe,rv-xctx~rahq-tskv,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877200,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2023,2023-06-01T00:00:00.000,8.914378523,row-yrdc_67h2_acrv,rv-4w63-q3ee.yhh7,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876906,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01T00:00:00.000,12.10054339,row-6b2v.au64~7xgu,rv-4tat_6sa3~43r9,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
877065,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,410,Rockaways,Summer 2023,2023-06-01T00:00:00.000,6.471941886,row-329w.mj3r.6pvp,rv-qqs3-ihpj-6sjz,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874586,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01T00:00:00.000,9.20653142,row-d6ep.wd7b-zzdr,rv-k3c8.itas.w9c5,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874526,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01T00:00:00.000,9.640345698,row-dkdw.48ap_md9t,rv-rnnf-pvgp-wsqc,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
878163,386,Ozone (O3),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01T00:00:00.000,31.22267347,row-izvz.b45n_fjt3,rv-arck~b8y5.ycwi,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
874876,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01T00:00:00.000,9.278967207,row-hc6u~u8we.pzna,rv-twhn-pbch_mrvi,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
876852,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01T00:00:00.000,16.74988488,row-hndt~wjpb.2ivy,rv-mkrz-87ab-nmc3,2025-03-24T19:25:36.580Z,2026-03-16T14:19:15.028Z
